Time,Open,High,Low,Close,Volume
2014.02.19 09:00:00,46835,46925,46780,46905,4636
2014.02.19 09:15:00,46900,46920,46780,46850,3725
2014.02.19 09:30:00,46855,46865,46675,46745,7228
2014.02.19 09:45:00,46745,46785,46640,46745,4243
2014.02.19 10:00:00,46740,46870,46670,46860,8863
2014.02.19 10:15:00,46860,47025,46815,46885,11615
2014.02.19 10:30:00,46875,47040,46765,46900,11812
2014.02.19 10:45:00,46900,46990,46815,46890,7858
2014.02.19 11:00:00,46890,46995,46665,46670,9143
2014.02.19 11:15:00,46665,46750,46540,46710,12142
2014.02.19 11:30:00,46715,46990,46685,46930,16035
2014.02.19 11:45:00,46935,47295,46935,47265,18919
2014.02.19 12:00:00,47260,47280,47105,47255,10600
2014.02.19 12:15:00,47265,47360,47050,47350,11872
2014.02.19 12:30:00,47360,47360,46995,47055,12988
2014.02.19 12:45:00,47055,47210,47050,47135,5462
2014.02.19 13:00:00,47135,47165,46955,46965,6641
2014.02.19 13:15:00,46970,47100,46925,47030,8180
2014.02.19 13:30:00,47030,47190,47020,47160,5458
2014.02.19 13:45:00,47165,47230,47050,47055,7788
2014.02.19 14:00:00,47065,47065,46860,46885,13609
2014.02.19 14:15:00,46885,46960,46735,46910,13517
2014.02.19 14:30:00,46915,47140,46915,47080,11097
2014.02.19 14:45:00,47080,47125,46950,47115,11618
2014.02.19 15:00:00,47115,47330,47070,47300,11493
2014.02.19 15:15:00,47300,47555,47220,47475,14934
2014.02.19 15:30:00,47480,47595,47415,47485,10275
2014.02.19 15:45:00,47480,47595,47380,47390,8091
2014.02.19 16:00:00,47385,47575,47320,47515,14168
2014.02.19 16:15:00,47515,47560,47320,47520,11875
2014.02.19 16:30:00,47535,47670,47445,47570,10124
2014.02.19 16:45:00,47560,47645,47480,47545,8237
2014.02.19 17:00:00,47550,47690,47520,47535,7709
2014.02.19 17:15:00,47530,47555,47430,47430,4265
2014.02.19 17:30:00,47435,47525,47415,47470,4402
2014.02.19 17:45:00,47470,47485,47405,47455,3505
2014.02.20 09:00:00,47275,47300,47085,47175,3893
2014.02.20 09:15:00,47180,47180,47055,47085,3668
2014.02.20 09:30:00,47085,47155,47035,47115,4117
2014.02.20 09:45:00,47105,47155,47090,47145,2405
2014.02.20 10:00:00,47145,47260,47130,47195,7632
2014.02.20 10:15:00,47200,47305,47060,47160,7663
2014.02.20 10:30:00,47155,47285,47065,47205,8344
2014.02.20 10:45:00,47205,47445,47110,47405,9986
2014.02.20 11:00:00,47410,47575,47320,47545,13162
2014.02.20 11:15:00,47540,47835,47475,47835,14781
2014.02.20 11:30:00,47825,47985,47685,47710,23242
2014.02.20 11:45:00,47710,47745,47400,47430,17708
2014.02.20 12:00:00,47415,47540,47275,47500,14567
2014.02.20 12:15:00,47500,47630,47455,47585,11397
2014.02.20 12:30:00,47595,47835,47560,47810,13068
2014.02.20 12:45:00,47815,47975,47790,47905,12237
2014.02.20 13:00:00,47905,47925,47730,47755,7147
2014.02.20 13:15:00,47760,47795,47595,47645,8027
2014.02.20 13:30:00,47640,47740,47545,47620,7954
2014.02.20 13:45:00,47620,47720,47575,47700,5162
2014.02.20 14:00:00,47695,47960,47690,47915,9826
2014.02.20 14:15:00,47925,48035,47870,47915,12328
2014.02.20 14:30:00,47915,47980,47800,47930,9175
2014.02.20 14:45:00,47930,48105,47905,48035,10747
2014.02.20 15:00:00,48035,48145,47955,47970,7104
2014.02.20 15:15:00,47970,48045,47920,47940,5674
2014.02.20 15:30:00,47945,48080,47940,48000,6119
2014.02.20 15:45:00,48000,48040,47930,48005,3743
2014.02.20 16:00:00,48000,48020,47780,47860,10880
2014.02.20 16:15:00,47865,47945,47765,47860,8519
2014.02.20 16:30:00,47850,47925,47800,47895,5842
2014.02.20 16:45:00,47895,47965,47820,47865,5645
2014.02.20 17:00:00,47865,47865,47705,47720,6629
2014.02.20 17:15:00,47720,47775,47655,47665,3586
2014.02.20 17:30:00,47665,47770,47655,47770,3152
2014.02.20 17:45:00,47770,47795,47740,47765,3004
2014.02.21 09:00:00,47770,47800,47620,47680,2080
2014.02.21 09:15:00,47680,47730,47610,47685,3126
2014.02.21 09:30:00,47685,47875,47680,47840,4339
2014.02.21 09:45:00,47840,47940,47780,47920,4131
2014.02.21 10:00:00,47925,47990,47800,47835,7246
2014.02.21 10:15:00,47840,47840,47670,47715,7889
2014.02.21 10:30:00,47695,47805,47530,47600,10204
2014.02.21 10:45:00,47600,47620,47500,47580,7164
2014.02.21 11:00:00,47575,47795,47560,47755,8154
2014.02.21 11:15:00,47755,47875,47715,47790,7629
2014.02.21 11:30:00,47785,47875,47760,47835,10525
2014.02.21 11:45:00,47835,48255,47820,48190,17991
2014.02.21 12:00:00,48190,48350,48060,48125,16533
2014.02.21 12:15:00,48120,48200,47950,47960,9900
2014.02.21 12:30:00,47965,48090,47950,48010,5620
2014.02.21 12:45:00,48005,48030,47900,47930,5853
2014.02.21 13:00:00,47935,48090,47915,47925,7974
2014.02.21 13:15:00,47930,48010,47845,47870,5514
2014.02.21 13:30:00,47880,47920,47810,47840,3386
2014.02.21 13:45:00,47840,47860,47795,47815,3654
2014.02.21 14:00:00,47815,47870,47745,47805,5655
2014.02.21 14:15:00,47805,47940,47780,47890,5791
2014.02.21 14:30:00,47890,47900,47755,47775,6496
2014.02.21 14:45:00,47770,47780,47665,47775,7547
2014.02.21 15:00:00,47775,47905,47730,47885,7583
2014.02.21 15:15:00,47890,47960,47855,47875,6819
2014.02.21 15:30:00,47875,47960,47820,47915,5970
2014.02.21 15:45:00,47910,48005,47910,47935,5713
2014.02.21 16:00:00,47940,48055,47800,47860,8961
2014.02.21 16:15:00,47860,47875,47785,47845,5934
