Time,Open,High,Low,Close,Volume
2012.03.08,4.93,4.95,4.82,4.86,32720
2012.03.09,4.86,4.91,4.75,4.83,28067
2012.03.10,4.83,4.99,4.81,4.91,42441
2012.03.11,4.91,4.95,4.86,4.89,22046
2012.03.12,4.89,5.41,4.87,5.27,127322
2012.03.13,5.27,5.45,5.25,5.38,62886
2012.03.14,5.39,5.45,5.26,5.33,41075
2012.03.15,5.35,5.4,5.3,5.34,32715
2012.03.16,5.34,5.4,5.21,5.22,39096
2012.03.17,5.22,5.34,5.21,5.28,22854
2012.03.18,5.26,5.31,4.5,4.69,188885
2012.03.19,4.69,4.9,4.59,4.84,66341
2012.03.20,4.84,4.87,4.75,4.82,46433
2012.03.21,4.79,4.88,4.6,4.7,58066
2012.03.22,4.74,4.79,4.6,4.69,54128
2012.03.23,4.69,4.73,4.6,4.68,39065
2012.03.24,4.68,4.68,4.3,4.55,71553
2012.03.25,4.55,4.74,4.52,4.62,69834
2012.03.26,4.62,4.85,4.49,4.81,73429
2012.03.27,4.81,4.84,4.72,4.79,38014
2012.03.28,4.79,4.86,4.71,4.81,37972
2012.03.29,4.81,4.88,4.72,4.86,39069
2012.03.30,4.85,4.95,4.82,4.91,35526
2012.03.31,4.91,4.92,4.73,4.83,35948
2012.04.01,4.83,5.08,4.76,4.97,80661
2012.04.02,4.97,5,4.81,4.95,78479
2012.04.03,4.95,4.97,4.89,4.91,51038
2012.04.04,4.93,4.94,4.87,4.92,33804
2012.04.05,4.92,4.98,4.88,4.95,58208
2012.04.06,4.95,4.95,4.69,4.69,80944
2012.04.07,4.69,4.8,4.62,4.79,41970
2012.04.08,4.79,4.88,4.73,4.87,39240
2012.04.09,4.87,4.9,4.76,4.84,53099
2012.04.10,4.84,4.98,4.79,4.93,67033
2012.04.11,4.93,4.95,4.84,4.92,46365
2012.04.12,4.92,4.95,4.73,4.94,93109
2012.04.13,4.94,5.03,4.9,4.96,63885
2012.04.14,4.96,4.98,4.86,4.97,33341
2012.04.15,4.97,4.98,4.91,4.93,31156
2012.04.16,4.96,5.02,4.93,4.98,30643
2012.04.17,4.98,5.18,4.96,5.12,79127
2012.04.18,5.12,5.19,5.1,5.14,46672
2012.04.19,5.14,5.48,5.1,5.35,104067
2012.04.20,5.35,5.48,5.11,5.26,60920
2012.04.21,5.26,5.33,5.1,5.2,37106
2012.04.22,5.2,5.22,4.96,4.96,49365
2012.04.23,4.96,5.2,4.95,5.1,70986
2012.04.24,5.1,5.18,5.04,5.13,35639
2012.04.25,5.13,5.18,4.99,5.1,57358
2012.04.26,5.1,5.12,5.03,5.11,25866
2012.04.27,5.1,5.11,4.85,4.98,91588
2012.04.28,4.98,5.02,4.88,4.9,22224
2012.04.29,4.9,5,4.87,4.95,55764
2012.04.30,4.95,5,4.92,5,36677
2012.05.01,5,5.18,4.97,5.07,95961
2012.05.02,5.07,5.18,5.02,5.14,35419
2012.05.03,5.11,5.15,5.07,5.07,43625
2012.05.04,5.07,5.12,5.03,5.08,18839
2012.05.05,5.08,5.1,5.01,5.05,19297
2012.05.06,5.05,5.1,4.97,5.06,46180
2012.05.07,5.06,5.1,4.96,5.05,68200
2012.05.08,5.05,5.1,5,5.04,38918
2012.05.09,5.04,5.13,4.8,4.85,69980
2012.05.10,4.85,5,4.8,4.96,63127
2012.05.11,4.96,5,4.92,4.95,20871
2012.05.12,4.95,5,4.92,4.93,14043
2012.05.13,4.93,5.04,4.9,5.01,52843
2012.05.14,5.02,5.04,4.95,5.04,44142
2012.05.15,5.04,5.13,5,5.09,69367
2012.05.16,5.09,5.1,5.05,5.1,26620
2012.05.17,5.1,5.13,5.06,5.12,52576
2012.05.18,5.12,5.14,5.07,5.1,23152
2012.05.19,5.1,5.15,5.09,5.09,18688
2012.05.20,5.1,5.13,5.06,5.1,33620
2012.05.21,5.1,5.12,5.05,5.1,46678
2012.05.22,5.1,5.17,5.07,5.14,52956
2012.05.23,5.14,5.15,5.07,5.12,28915
2012.05.24,5.12,5.15,5.1,5.15,23072
2012.05.25,5.15,5.15,5.1,5.1,16590
2012.05.26,5.1,5.15,5.1,5.14,15748
2012.05.27,5.14,5.16,5.11,5.14,27557
2012.05.28,5.14,5.16,5.02,5.15,61265
2012.05.29,5.15,5.17,5.1,5.14,39941
2012.05.30,5.14,5.2,5.11,5.18,39473
2012.05.31,5.2,5.28,5.18,5.28,44686
2012.06.01,5.28,5.28,5.21,5.25,15166
2012.06.02,5.25,5.25,5.21,5.21,12677
2012.06.03,5.21,5.28,5.18,5.27,51237
2012.06.04,5.27,5.5,5.22,5.44,83930
2012.06.05,5.45,5.49,5.39,5.46,40675
2012.06.06,5.46,5.59,5.41,5.59,48064
2012.06.07,5.59,5.66,5.56,5.63,53838
2012.06.08,5.63,5.7,5.46,5.56,37119
2012.06.09,5.56,5.58,5.43,5.47,24394
2012.06.10,5.47,5.6,5.43,5.57,40261
2012.06.11,5.6,5.75,5.5,5.7,78979
2012.06.12,5.73,5.96,5.66,5.93,57236
2012.06.13,5.93,5.97,5.81,5.95,35037
2012.06.14,5.95,6.59,5.88,6.5,65635
2012.06.15,6.5,6.6,6.26,6.4,78194
2012.06.16,6.4,6.53,6.1,6.16,48798
2012.06.17,6.16,6.36,6.03,6.31,46830
2012.06.18,6.31,6.53,6.28,6.5,43881
2012.06.19,6.5,6.71,6.45,6.67,64066
2012.06.20,6.67,6.8,6.56,6.68,51940
2012.06.21,6.68,6.8,6.43,6.55,56821
2012.06.22,6.55,6.65,6.4,6.43,23586
2012.06.23,6.43,6.47,6.35,6.35,33942
2012.06.24,6.35,6.45,6.22,6.3,62636
2012.06.25,6.31,6.47,6.29,6.42,48733
2012.06.26,6.42,6.65,6.4,6.65,41977
2012.06.27,6.65,6.67,6.49,6.61,42815
2012.06.28,6.61,6.68,6.54,6.65,26297
2012.06.29,6.65,6.69,6.6,6.69,20589
2012.06.30,6.69,6.69,6.54,6.63,20574
2012.07.01,6.6,6.77,6.58,6.76,32361
2012.07.02,6.76,6.76,6.4,6.45,71065
2012.07.03,6.45,6.55,6.45,6.51,33476
2012.07.04,6.51,6.77,6.48,6.67,45341
2012.07.05,6.67,6.72,6.55,6.65,43188
2012.07.06,6.65,6.87,6.63,6.76,37985
2012.07.07,6.76,6.86,6.72,6.8,25633
2012.07.08,6.8,7.1,6.74,7.02,61641
2012.07.09,7.02,7.25,6.96,7.2,70062
2012.07.10,7.2,7.26,7.02,7.15,41888
2012.07.11,7.17,7.9,7.1,7.76,64613
2012.07.12,7.69,7.82,7.42,7.67,65462
2012.07.13,7.67,7.67,7.52,7.54,16004
2012.07.14,7.54,7.7,7.45,7.62,26975
2012.07.15,7.62,8.65,7.62,8.5,103396
2012.07.16,8.5,9.49,7.32,8.8,210802
2012.07.17,8.8,9.4,8.5,9.11,105943
2012.07.18,9.11,9.23,8.82,8.87,48246
2012.07.19,8.87,8.87,7.6,8.52,154658
2012.07.20,8.52,9.7,7.96,8.85,139917
2012.07.21,8.85,8.97,8.27,8.41,30068
2012.07.22,8.41,9.2,7.75,8.45,146393
2012.07.23,8.45,8.85,8.34,8.6,40944
2012.07.24,8.55,8.9,8.37,8.8,64719
2012.07.25,8.8,8.9,8.6,8.9,32377
2012.07.26,8.9,8.95,8.81,8.9,26671
2012.07.27,8.9,8.93,8.71,8.89,16161
2012.07.28,8.89,8.89,8.7,8.71,25246
2012.07.29,8.71,9.15,8.7,9.1,56303
2012.07.30,9.08,9.44,9.08,9.35,70171
2012.07.31,9.35,9.65,9.11,9.55,68693
2012.08.01,9.55,11,9.41,10.53,126682
2012.08.02,10.53,11.12,10.3,10.97,61639
2012.08.03,10.98,11.3,10.53,10.98,52317
2012.08.04,10.98,11.29,10.11,10.87,67277
2012.08.05,10.87,11.19,10.64,10.86,51636
2012.08.06,10.91,11.1,10.65,11.1,41651
2012.08.07,11.1,11.15,10.85,11.06,31319
2012.08.08,11.06,12,10.8,11.06,101876
2012.08.09,11.06,11.6,11.01,11.39,63594
2012.08.10,11.39,11.6,11.39,11.51,21789
2012.08.11,11.51,11.77,11.45,11.62,30339
2012.08.12,11.62,12.05,11.49,12.04,54033
2012.08.13,12.04,12.34,11.89,12.19,44011
2012.08.14,12.19,13.25,12.16,13.25,57560
2012.08.15,13.25,13.84,12.5,13.5,96601
2012.08.16,13.5,15.4,10.6,11.58,221031
2012.08.17,11.58,12.9,11.02,11.61,88045
2012.08.18,11.58,11.62,7.58,8,238858
2012.08.19,8,10.5,7.81,10.1,192499
2012.08.20,10.1,10.3,9.7,9.92,72079
2012.08.21,9.92,10.1,9.57,9.81,67511
2012.08.22,9.72,10.25,9.71,10.1,56013
2012.08.23,10.1,10.62,9.85,10.6,92073
2012.08.24,10.6,10.63,10.2,10.52,40230
2012.08.25,10.6,10.62,10.45,10.61,26328
2012.08.26,10.59,12.15,10.55,10.95,175113
2012.08.27,10.95,11.21,10.5,10.94,54873
2012.08.28,10.94,11.13,10.55,10.92,53645
2012.08.29,10.92,10.93,10.6,10.78,30866
2012.08.30,10.78,10.83,9.66,10.16,67789
2012.08.31,10.15,10.3,9.78,9.97,23373
2012.09.01,9.97,10.36,9.72,10.2,25052
2012.09.02,10.21,10.59,10.09,10.53,22923
2012.09.03,10.53,10.53,10.15,10.39,34876
2012.09.04,10.39,11.17,10.26,11,60765
2012.09.05,11,11.29,10.64,11.18,67049
2012.09.06,11.2,11.21,10.95,11,35532
2012.09.07,11.1,11.14,10.77,11.04,24249
2012.09.08,11.04,11.14,10.93,11.02,14030
2012.09.09,11.02,11.19,10.87,11.17,42287
2012.09.10,11.15,11.35,10.88,11.33,64951
2012.09.11,11.33,11.39,10.78,11.37,58624
2012.09.12,11.23,11.4,11.22,11.4,20571
2012.09.13,11.4,11.8,11.32,11.67,43256
2012.09.14,11.67,11.79,11.6,11.75,16271
2012.09.15,11.75,11.99,11.72,11.87,30294
2012.09.16,11.87,11.96,11.77,11.89,26609
2012.09.17,11.89,12.35,11.84,12.25,40946
2012.09.18,12.25,12.69,12.15,12.57,41880
